Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Sumbermanjing Wetan,2021,MOW,615,
Dampit,2021,MOW,1.509,
Ampelgading,2021,MOW,304,
Poncokusumo,2021,MOW,854,
Wajak,2021,MOW,646,
Turen,2021,MOW,819,
Gondanglegi,2021,MOW,483,
Kalipare,2021,MOW,179,
Sumberpucung,2021,MOW,395,
Kepanjen,2021,MOW,852,
Bululawang,2021,MOW,958,
Tajinan,2021,MOW,441,
Tumpang,2021,MOW,482,
Jabung,2021,MOW,548,
Pakis,2021,MOW,1.000,
Pakisaji,2021,MOW,621,
Ngajum,2021,MOW,388,
Wagir,2021,MOW,589,
Dau,2021,MOW,721,
Karangploso,2021,MOW,675,
Singosari,2021,MOW,1.143,
Lawang,2021,MOW,899,
Pujon,2021,MOW,308,
Ngantang,2021,MOW,294,
Kasembon,2021,MOW,429,
Gedangan,2021,MOW,262,
Tirtoyudo,2021,MOW,932,
Kromengan,2021,MOW,276,
Wonosari,2021,MOW,342,
Pagelaran,2021,MOW,342,
Donomulyo,2021,Kondom,86,
Pagak,2021,Kondom,37,
Bantur,2021,Kondom,135,
Sumbermanjing Wetan,2021,Kondom,129,
Dampit,2021,Kondom,261,
Ampelgading,2021,Kondom,23,
Poncokusumo,2021,Kondom,142,
Wajak,2021,Kondom,146,
Turen,2021,Kondom,519,
Gondanglegi,2021,Kondom,417,
Kalipare,2021,Kondom,207,
Sumberpucung,2021,Kondom,168,
Kepanjen,2021,Kondom,51,
Bululawang,2021,Kondom,28,
Tajinan,2021,Kondom,130,
Tumpang,2021,Kondom,114,
Jabung,2021,Kondom,87,
Pakis,2021,Kondom,368,
Pakisaji,2021,Kondom,402,
Ngajum,2021,Kondom,84,
Wagir,2021,Kondom,241,
Dau,2021,Kondom,142,
Karangploso,2021,Kondom,289,
Singosari,2021,Kondom,490,
Lawang,2021,Kondom,152,
Pujon,2021,Kondom,82,
Ngantang,2021,Kondom,31,
Kasembon,2021,Kondom,23,
Gedangan,2021,Kondom,133,
Tirtoyudo,2021,Kondom,83,
Kromengan,2021,Kondom,108,
Wonosari,2021,Kondom,17,
Pagelaran,2021,Kondom,17,
Donomulyo,2021,Implan,1.925,
Pagak,2021,Implan,812,
Bantur,2021,Implan,3.310,
Sumbermanjing Wetan,2021,Implan,1.120,
Dampit,2021,Implan,3.141,
Ampelgading,2021,Implan,698,
Poncokusumo,2021,Implan,2.980,
Wajak,2021,Implan,1.917,
Turen,2021,Implan,1.876,
Gondanglegi,2021,Implan,1.379,
Kalipare,2021,Implan,1.279,
Sumberpucung,2021,Implan,578,
Kepanjen,2021,Implan,2.151,
Bululawang,2021,Implan,1.381,
Tajinan,2021,Implan,1.376,
Tumpang,2021,Implan,752,
Jabung,2021,Implan,2.409,
Pakis,2021,Implan,1.538,
Pakisaji,2021,Implan,1.171,
Ngajum,2021,Implan,1.200,
Wagir,2021,Implan,2.398,
Dau,2021,Implan,950,
Karangploso,2021,Implan,416,
Singosari,2021,Implan,1.539,
Lawang,2021,Implan,1.779,
Pujon,2021,Implan,4.650,
Ngantang,2021,Implan,2.055,
Kasembon,2021,Implan,1.220,
Gedangan,2021,Implan,899,
Tirtoyudo,2021,Implan,1.185,
Kromengan,2021,Implan,1.208,
Wonosari,2021,Implan,2.009,
Pagelaran,2021,Implan,2.009,
Donomulyo,2021,Suntikan,7.940,
Pagak,2021,Suntikan,4.480,
Bantur,2021,Suntikan,3.692,
Sumbermanjing Wetan,2021,Suntikan,8.084,
Dampit,2021,Suntikan,12.765,
Ampelgading,2021,Suntikan,4.087,
Poncokusumo,2021,Suntikan,6.062,
Wajak,2021,Suntikan,8.435,
Turen,2021,Suntikan,10.099,
Gondanglegi,2021,Suntikan,6.947,
Kalipare,2021,Suntikan,3.618,
Sumberpucung,2021,Suntikan,2.469,
Kepanjen,2021,Suntikan,5.872,
Bululawang,2021,Suntikan,6.212,
Tajinan,2021,Suntikan,4.167,
Tumpang,2021,Suntikan,6.057,
Jabung,2021,Suntikan,5.718,
Pakis,2021,Suntikan,11.988,
Pakisaji,2021,Suntikan,7.329,
Ngajum,2021,Suntikan,3.571,
Wagir,2021,Suntikan,7.255,
Dau,2021,Suntikan,5.022,
Karangploso,2021,Suntikan,6.283,
Singosari,2021,Suntikan,12.644,
Lawang,2021,Suntikan,8.587,
Pujon,2021,Suntikan,4.281,
Ngantang,2021,Suntikan,3.047,
Kasembon,2021,Suntikan,1.907,
Gedangan,2021,Suntikan,5.455,
Tirtoyudo,2021,Suntikan,6.808,
Kromengan,2021,Suntikan,2.644,
Wonosari,2021,Suntikan,3.431,
Pagelaran,2021,Suntikan,3.431,
Donomulyo,2021,Pil,1.029,
Pagak,2021,Pil,1.483,
Bantur,2021,Pil,2.899,
Sumbermanjing Wetan,2021,Pil,1.819,
Dampit,2021,Pil,2.827,
Ampelgading,2021,Pil,1.368,
Poncokusumo,2021,Pil,2.095,
Wajak,2021,Pil,1.538,
Turen,2021,Pil,2.825,
Gondanglegi,2021,Pil,3.243,
Kalipare,2021,Pil,1.404,
Sumberpucung,2021,Pil,997,
Kepanjen,2021,Pil,2.379,
Bululawang,2021,Pil,1.516,
Tajinan,2021,Pil,915,
Tumpang,2021,Pil,1.198,
Jabung,2021,Pil,1.177,
Pakis,2021,Pil,2.924,
Pakisaji,2021,Pil,1.692,
Ngajum,2021,Pil,932,
Wagir,2021,Pil,3.126,
Dau,2021,Pil,410,
Karangploso,2021,Pil,1.493,
Singosari,2021,Pil,3.316,
Lawang,2021,Pil,2.171,
Pujon,2021,Pil,1.751,
Ngantang,2021,Pil,1.173,
Kasembon,2021,Pil,369,
Gedangan,2021,Pil,1.383,
Tirtoyudo,2021,Pil,1.599,
Kromengan,2021,Pil,1.021,
Wonosari,2021,Pil,830,
Pagelaran,2021,Pil,830,
Donomulyo,2022,AKDR,638,
Pagak,2022,AKDR,253,
Bantur,2022,AKDR,128,
Sumbermanjing Wetan,2022,AKDR,372,
Dampit,2022,AKDR,717,
Ampelgading,2022,AKDR,459,
Poncokusumo,2022,AKDR,1.089,
Wajak,2022,AKDR,871,
Turen,2022,AKDR,1.521,
Gondanglegi,2022,AKDR,439,
Kalipare,2022,AKDR,257,
Sumberpucung,2022,AKDR,679,
Kepanjen,2022,AKDR,1.283,
Bululawang,2022,AKDR,817,
Tajinan,2022,AKDR,573,
Tumpang,2022,AKDR,1.538,
Jabung,2022,AKDR,652,
Pakis,2022,AKDR,2.866,
Pakisaji,2022,AKDR,1.028,
Ngajum,2022,AKDR,335,
Wagir,2022,AKDR,1.072,
Dau,2022,AKDR,1.295,
Karangploso,2022,AKDR,1.965,
Singosari,2022,AKDR,2.733,
Lawang,2022,AKDR,2.286,
Pujon,2022,AKDR,1.115,
Ngantang,2022,AKDR,1.292,
Kasembon,2022,AKDR,361,
Gedangan,2022,AKDR,150,
Tirtoyudo,2022,AKDR,434,
Kromengan,2022,AKDR,328,
Wonosari,2022,AKDR,356,
Pagelaran,2022,AKDR,318,
Donomulyo,2022,MOP,5,
Pagak,2022,MOP,1,
Bantur,2022,MOP,4,
Sumbermanjing Wetan,2022,MOP,8,
Dampit,2022,MOP,13,
Ampelgading,2022,MOP,5,
Poncokusumo,2022,MOP,19,
Wajak,2022,MOP,3,
Turen,2022,MOP,8,
Gondanglegi,2022,MOP,6,
Kalipare,2022,MOP,3,
Sumberpucung,2022,MOP,6,
Kepanjen,2022,MOP,23,
Bululawang,2022,MOP,10,
Tajinan,2022,MOP,5,
Tumpang,2022,MOP,42,
Jabung,2022,MOP,25,
Pakis,2022,MOP,19,
Pakisaji,2022,MOP,14,
Ngajum,2022,MOP,14,
Wagir,2022,MOP,29,
Dau,2022,MOP,7,
Karangploso,2022,MOP,19,
Singosari,2022,MOP,21,
Lawang,2022,MOP,26,
Pujon,2022,MOP,9,
Ngantang,2022,MOP,10,
Kasembon,2022,MOP,3,
Gedangan,2022,MOP,0,
Tirtoyudo,2022,MOP,4,
Kromengan,2022,MOP,5,
Wonosari,2022,MOP,5,
Pagelaran,2022,MOP,8,
