Bulan,Tahun,Bentuk_Kekerasan,Jumlah_Kasus
Maret,2024,Fisik,2
April,2024,Fisik,4
Mei,2024,Fisik,0
Juni,2024,Fisik,2
Juli,2024,Fisik,3
Agustus,2024,Fisik,0
September,2024,Fisik,1
Oktober,2024,Fisik,3
November,2024,Fisik,1
Desember,2024,Fisik,0
Total,2024,Fisik,22
Januari,2024,Psikis,12
Februari,2024,Psikis,4
Maret,2024,Psikis,5
April,2024,Psikis,4
Mei,2024,Psikis,0
Juni,2024,Psikis,0
Juli,2024,Psikis,2
Agustus,2024,Psikis,2
September,2024,Psikis,2
Oktober,2024,Psikis,2
November,2024,Psikis,0
Desember,2024,Psikis,0
Total,2024,Psikis,33
Januari,2024,Seksual,7
Februari,2024,Seksual,1
Maret,2024,Seksual,3
April,2024,Seksual,0
Mei,2024,Seksual,0
Juni,2024,Seksual,1
Juli,2024,Seksual,2
Agustus,2024,Seksual,0
September,2024,Seksual,0
Oktober,2024,Seksual,4
November,2024,Seksual,0
Desember,2024,Seksual,1
Total,2024,Seksual,19
Januari,2024,Penelantaran,2
Februari,2024,Penelantaran,0
Maret,2024,Penelantaran,1
April,2024,Penelantaran,0
Mei,2024,Penelantaran,1
Juni,2024,Penelantaran,0
Juli,2024,Penelantaran,3
Agustus,2024,Penelantaran,1
September,2024,Penelantaran,3
Oktober,2024,Penelantaran,1
November,2024,Penelantaran,1
Desember,2024,Penelantaran,0
Total,2024,Penelantaran,13
Januari,2024,Lainnya,0
Februari,2024,Lainnya,2
Maret,2024,Lainnya,0
April,2024,Lainnya,0
Mei,2024,Lainnya,0
Juni,2024,Lainnya,0
Juli,2024,Lainnya,0
Agustus,2024,Lainnya,0
September,2024,Lainnya,0
Oktober,2024,Lainnya,0
November,2024,Lainnya,1
Desember,2024,Lainnya,0
Total,2024,Lainnya,3
