No,ID Kecamatan,Kecamatan,Tahun,Jenjang,Jumlah Penduduk Usia Sekolah,Jumlah Siswa Usia Sekolah,Total Siswa,APK (%),APM (%),Jumlah Guru S1/D4,Total Guru,Persentase Guru S1,Jumlah Sekolah Terakreditasi,Jumlah Sekolah,Persentase Sekolah Terakreditasi
150,18,Pakis,2024,PAUD,4624,3043,4489,109.15,77.9,106,224,47,91,101,90
151,19,Pakisaji,2024,PAUD,2755,1606,2751,137.68,96.1,92,157,59,62,62,100
152,20,Ngajum,2024,PAUD,1655,719,1441,136.44,92.8,38,89,43,37,45,82
153,21,Wagir,2024,PAUD,2493,1652,2411,108.5,78.1,29,115,25,47,50,94
154,22,Dau,2024,PAUD,2075,946,1702,118.65,82.2,73,112,65,41,42,98
155,23,Karangploso,2024,PAUD,2616,1447,2492,133.79,93.8,71,118,60,32,49,65
156,24,Singosari,2024,PAUD,5516,3580,5008,106.44,80.5,172,302,57,67,95,71
157,25,Lawang,2024,PAUD,3442,2647,3864,122.11,86.8,145,240,60,49,79,62
158,26,Pujon,2024,PAUD,2261,709,1263,112.65,88.1,45,104,43,36,36,100
159,27,Ngantang,2024,PAUD,1787,726,1206,100.95,74.1,11,63,17,34,44,77
160,28,Kasembon,2024,PAUD,1024,264,809,135.84,82.6,20,52,38,23,38,61
161,29,Gedangan,2024,PAUD,1476,909,1657,160.91,110.2,24,49,49,27,29,93
162,30,Tirtoyudo,2024,PAUD,1976,1023,2799,168.17,78.3,34,108,31,60,68,88
163,31,Kromengan,2024,PAUD,1177,761,1274,108.24,64.7,44,93,47,36,40,90
164,32,Wonosari,2024,PAUD,1310,701,1008,95.73,72.3,35,69,51,25,30,83
165,33,Pagelaran,2024,PAUD,2161,1214,1873,122.26,91.8,66,102,65,28,39,72
166,1,Donomulyo,2020,SD,5239,5357,5359,102.29,102.25,316,340,92.94,45,45,100
167,2,Pagak,2020,SD,4403,4571,4572,103.84,103.82,237,256,92.58,30,30,100
168,3,Bantur,2020,SD,6287,6809,6810,108.32,108.3,300,310,96.77,36,36,100
169,4,Sumbermanjing Wetan,2020,SD,5479,9653,9654,176.2,176.18,406,434,93.55,51,51,100
170,5,Dampit,2020,SD,11499,11295,11499,100,98.23,421,450,93.56,50,50,100
171,6,Ampelgading,2020,SD,5309,5417,5419,102.07,102.03,250,262,95.42,30,30,100
172,7,Poncokusumo,2020,SD,8837,8847,8849,100.13,100.11,300,324,92.59,41,41,100
173,8,Wajak,2020,SD,7812,8334,8335,106.69,106.68,281,306,91.83,36,36,100
