No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
58,Gondanglegi,Ketawang,01/01/2020,2020,Agustus,142,32,186,2034,"11,1","0,111",1,2,3,1,12,12
59,Pagelaran,Pagelaran,01/01/2020,2020,Agustus,280,32,301,2216,"35,1","0,351",0,1,2,1,0,15
60,Kepanjen,Kepanjen,01/01/2020,2020,Agustus,230,32,312,4589,"9,9","0,099",3,1,3,4,15,15
61,Sumberpucung,Sumberpucung,01/01/2020,2020,Agustus,335,32,482,2246,"29,1","0,291",0,1,1,7,15,15
62,Kromengan,Kromengan,01/01/2020,2020,Agustus,296,32,316,2064,"13,2","0,132",1,1,1,5,12,12
63,Ngajum,Ngajum,01/01/2020,2020,Agustus,364,32,540,2616,"15,5","0,155",0,1,2,0,9,9
64,Wonosari,Wonosari,01/01/2020,2020,Agustus,191,32,218,2331,11,"0,11",0,1,2,1,12,12
65,Wagir,Wagir,01/01/2020,2020,Agustus,217,32,261,4147,8,"0,08",0,1,3,5,8,10
66,Pakisaji,Pakisaji,01/01/2020,2020,Agustus,300,32,361,3015,"20,6","0,206",1,1,2,6,9,9
67,Tajinan,Tajinan,01/01/2020,2020,Agustus,630,32,860,3674,"18,8","0,188",0,1,3,7,7,9
68,Tumpang,Tumpang,01/01/2020,2020,Agustus,594,32,716,4805,"18,1","0,181",1,1,15,2,6,8
69,Pakis,Pakis,01/01/2020,2020,Agustus,216,32,217,5056,"4,2","0,042",1,1,2,5,12,12
70,Jabung,Jabung,01/01/2020,2020,Agustus,417,32,571,3698,"13,1","0,131",0,1,3,3,9,10
71,Lawang,Lawang,01/01/2020,2020,Agustus,461,32,662,5030,"8,7","0,087",5,1,3,3,13,13
72,Singosari,Singosari,01/01/2020,2020,Agustus,367,32,368,5999,"2,3","0,023",2,2,4,0,6,6
73,Singosari,Ardimulyo,01/01/2020,2020,Agustus,301,32,415,3904,"12,1","0,121",2,2,4,0,7,8
74,Karangploso,Karangploso,01/01/2020,2020,Agustus,209,32,329,4670,"10,7","0,107",1,1,3,0,6,6
75,Dau,Dau,01/01/2020,2020,Agustus,165,32,226,1520,"37,2","0,372",1,1,2,4,13,13
76,Pujon,Pujon,01/01/2020,2020,Agustus,650,32,869,3415,"33,9","0,339",1,1,2,2,7,7
77,Ngantang,Ngantang,01/01/2020,2020,Agustus,419,32,522,3585,"23,7","0,237",0,1,3,2,8,8
78,Kasembon,Kasembon,01/01/2020,2020,Agustus,201,32,219,1841,"17,2","0,172",1,1,2,5,10,10
79,Donomulyo,Donomulyo,01/01/2021,2021,Februari,379,43,422,3529,12,"0,12",0,1,4,3,10,10
80,Kalipare,Kalipare,01/01/2021,2021,Februari,121,27,148,3327,"4,4","0,044",0,1,3,1,2,4
81,Pagak,Pagak,01/01/2021,2021,Februari,242,264,506,1288,"39,3","0,393",0,2,3,2,4,4
82,Pagak,Sumbermanjing Kulon,01/01/2021,2021,Februari,83,5,88,1093,"8,1","0,081",0,2,3,0,5,5
83,Bantur,Bantur,01/01/2021,2021,Februari,128,25,153,1704,9,"0,09",0,2,4,1,5,5
84,Bantur,Wonokerto,01/01/2021,2021,Februari,277,7,284,2581,11,"0,11",0,2,4,1,9,9
85,Gedangan,Gedangan,01/01/2021,2021,Februari,66,1,67,2809,"2,4","0,024",0,2,6,6,6,6
